Coordenada_genetica;Gen;Enfermedad_asociada;Significancia_clinica
Chr17:78081738;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090747 - 78110154;EIF4A3|GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085283 - 78092476;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78084516 - 78084834;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78091552;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081419;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079617;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092129;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086475;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078951;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092483;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082213;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079600;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082417;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082301;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085790;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078502;GAA;Enfermedad de Pompe;Likely benign
Chr17:78093128;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082169;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079667;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082276;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091983;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092008;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078409;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091416;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084572;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082643;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086742;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081374;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082302;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082372;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087076;GAA;Enfermedad de Pompe;Likely benign
Chr17:78093126;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091568;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078947;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087175 - 78087176;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092021;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079543 - 78079544;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091539;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086502;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090787;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091483;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079562;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084799;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081514;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078882;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081585;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086357;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083843;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085768 - 78085771;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085763;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082480;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084565;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78079599;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085856;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078472;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090751;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082610;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78083813;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082166;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78093055;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081595;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078936;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081606;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081484;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081396;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092563;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078579;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078443;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082604;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083797;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084839;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082627;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091392;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081528 - 78081529;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084654;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079596 - 78079597;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081662;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086528;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090843;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082616;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078649;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087040;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078870;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086449;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78082187;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78079573;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078933;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086491;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092501;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079548;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092564;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078907;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084659;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084596;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081581;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092565;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085873;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092603;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081540;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081526 - 78081527;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092519;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081449;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082547;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079585;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078643;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092500;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091458;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082635;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090914;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078667;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081380;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086441;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086754;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091425;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090891;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78092527;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086723;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086507;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092608;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084558 - 78084560;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079622;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090797;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082615;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085838;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079713;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082215;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092160;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083735;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079568;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085897;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085783 - 78085784;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092081;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083826;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081354;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086372;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087025;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092091;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082281;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082535;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085791;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082634;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087046;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087008;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092589;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092057;GAA;Enfermedad de Pompe;Likely benign
